@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
36,0,1,0,0,0,?
39,1,1,1,0,0,?
125,10,2,66,1,0,?
75,3,1,14,0,0,?
57,1,1,5,0,0,?
57,1,1,5,0,0,?
53,3,2,5,0,0,?
60,1,4,3,0,0,?
34,0,1,0,0,0,?
33,0,0,0,0,0,?
56,1,1,5,0,0,?
56,1,1,5,0,0,?
72,4,5,8,0,0,?
34,0,1,0,0,0,?
38,0,1,2,0,0,?
39,1,1,1,0,0,?
55,1,2,4,0,0,?
98,8,4,24,1,0,?
89,3,5,9,0,0,?
55,1,2,4,0,0,?
53,1,2,4,0,0,?
53,1,2,4,0,0,?
61,1,5,11,0,0,?
90,3,5,9,0,0,?
100,8,4,24,1,0,?
89,1,2,9,0,1,?
52,2,2,5,0,0,?
67,3,3,13,0,0,?
55,2,2,7,0,0,?
96,4,4,9,0,1,?
174,11,10,23,0,0,?
116,6,6,11,0,0,?
57,2,2,0,0,0,?
74,6,1,16,0,0,?
60,4,2,13,1,2,?
70,6,2,0,0,0,?
57,2,2,4,0,1,?
40,1,1,1,0,0,?
53,5,2,2,0,0,?
80,8,3,12,0,0,?
67,3,3,7,0,0,?
67,6,2,8,0,1,?
82,1,11,5,0,0,?
30,0,0,0,0,0,?
31,0,1,0,0,0,?
31,0,1,0,0,0,?
85,5,3,10,0,1,?
61,2,5,3,0,0,?
48,1,3,2,0,0,?
39,1,1,1,0,0,?
112,6,7,25,0,0,?
69,0,5,8,0,0,?
86,6,2,30,0,0,?
65,4,2,17,0,0,?
59,2,1,4,0,0,?
50,2,2,6,0,0,?
78,5,3,3,0,4,?
62,4,5,0,0,0,?
39,1,1,1,0,0,?
83,5,4,15,1,0,?
68,4,3,6,1,0,?
56,1,4,8,0,0,?
83,7,1,10,2,0,?
53,4,2,5,0,0,?
49,2,3,0,0,0,?
50,1,3,2,0,0,?
54,5,2,3,0,0,?
40,1,1,1,0,0,?
58,5,1,7,2,0,?
54,2,1,8,0,0,?
177,8,11,28,0,0,?
193,10,13,19,0,2,?
118,8,8,9,0,2,?
130,18,4,29,2,2,?
39,0,1,1,0,0,?
245,17,12,92,0,0,?
86,9,1,21,0,0,?
