@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
37,0,0,0,0,0,?
42,0,0,0,0,0,?
36,0,1,0,0,0,?
115,7,8,23,1,3,?
39,0,1,0,0,0,?
49,0,3,0,0,0,?
41,2,1,0,0,0,?
20,0,0,0,0,0,?
48,1,3,0,0,0,?
58,2,3,2,0,0,?
65,1,3,4,0,0,?
48,0,2,3,0,1,?
20,0,0,0,0,0,?
55,1,2,5,0,0,?
39,0,1,0,0,0,?
42,0,1,0,0,0,?
45,0,3,0,0,0,?
65,0,5,3,0,0,?
20,0,0,0,0,0,?
65,2,3,1,0,0,?
43,3,1,0,0,0,?
89,4,5,4,0,0,?
66,2,5,5,0,0,?
88,5,6,12,1,0,?
20,0,0,0,0,0,?
124,9,7,46,0,6,?
127,9,8,14,0,5,?
66,2,3,5,0,3,?
20,0,0,0,0,0,?
41,0,1,0,0,0,?
215,15,17,48,1,8,?
49,0,0,0,0,0,?
57,0,0,0,0,0,?
76,0,4,2,0,0,?
33,0,1,0,0,0,?
20,0,0,0,0,0,?
189,17,13,35,1,5,?
41,0,1,0,0,0,?
29,0,0,0,0,0,?
74,3,3,12,0,5,?
142,9,9,22,0,1,?
30,0,0,0,0,0,?
58,0,4,0,0,0,?
46,0,3,0,0,0,?
41,0,2,0,0,0,?
103,12,9,25,0,2,?
20,0,0,0,0,0,?
41,0,2,0,0,0,?
43,0,0,0,0,0,?
20,0,0,0,0,0,?
96,3,6,9,1,4,?
60,1,4,0,0,0,?
72,0,0,0,0,0,?
90,3,5,6,0,0,?
34,0,1,0,0,0,?
31,0,0,0,0,0,?
52,1,3,2,0,0,?
67,4,3,7,0,0,?
49,1,2,0,0,0,?
104,5,9,18,0,0,?
50,0,0,0,0,0,?
41,0,1,0,0,0,?
20,0,0,0,0,0,?
130,8,10,41,0,9,?
74,0,0,0,0,0,?
65,0,0,0,0,0,?
87,3,5,5,0,0,?
33,0,1,0,0,0,?
32,0,0,0,0,0,?
57,0,0,0,0,0,?
94,5,4,5,0,0,?
33,0,1,0,0,0,?
109,6,7,23,0,4,?
65,2,4,7,0,3,?
66,2,3,4,0,0,?
81,5,7,16,0,0,?
37,0,1,0,0,0,?
30,0,0,0,0,0,?
295,23,18,96,0,9,?
20,0,0,0,0,0,?
67,2,4,4,0,0,?
20,0,0,0,0,0,?
